"","GPA_year1","GPA_year2","age","chooseUTM","compsurv","control","credits_earned1","credits_earned2","dad1","dad2","dad_edn","english","female","finish4","goodstanding_year1","goodstanding_year2","gpa0","graddeg","grade_20059_fall","hcom","hsgroup","lastmin","lm_never","lm_rarely","mathsci","mom1","mom2","mom_edn","mtongue","noshow","numcourses_nov1","prob_year1","prob_year2","sex","sfp","sfp_p","sfpany","sfpany_p","sfsp","sfsp_p","signup","ssp","ssp_p","totcredits_year1","used_adv","used_fsg","used_ssp","work1"
"64",2.11999988555908,2.9300000667572,19,1,1,0,2.5,2.75,1,0,4,1,0,1,1,1,76.8000030517578,0,60,1,2,4,0,1,0,1,0,4,"English",0,6,0,0,"M",1,0,1,0,0,0,0,0,0,4.5,0,0,0,0
"65",2.08999991416931,2.70000004768372,18,0,1,1,3,3.5,1,1,6,1,1,1,1,1,82.5,1,71,1,3,4,0,1,1,1,1,6,"English",0,5,0,0,"F",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"66",1.8400000333786,1.27999997138977,18,NA,1,0,3.5,2,1,1,6,0,1,1,1,1,82.3000030517578,1,75,0,3,2,0,0,1.5,1,1,6,"Other",0,4,0,0,"F",0,0,0,0,0,0,1,1,1,4.5,0,0,0,0
"67",1.75,2.38000011444092,18,0,1,0,2.5,2.5,1,1,6,1,1,0,1,1,75.5,1,70,1,1,4,0,1,0,1,1,6,"English",0,4,0,0,"F",0,0,1,1,1,1,1,0,0,4,1,0,1,0
"68",3,2.20000004768372,19,0,1,1,3,2,1,1,6,1,0,1,1,1,79.1999969482422,1,74,1,2,3,0,0,1,1,0,4,"English",0,4,0,0,"M",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"69",1.63999998569489,1.38999998569489,18,0,1,0,3,3,0,0,9,1,1,1,1,1,79.8000030517578,1,62.5,1,2,3,0,0,3,0,0,9,"English",0,5,0,0,"F",0,0,0,0,0,0,1,1,1,4.5,1,1,1,0
"70",2.6800000667572,2.67000007629395,18,0,1,1,2.5,5,1,0,4,1,1,0,1,1,77.8000030517578,0,78,1,2,3,0,0,1,0,0,1,"English",0,6,0,0,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"71",0,0.230000004172325,18,0,1,1,0,0.5,1,1,6,0,0,1,0,0,74.5,0,40,1,1,2,0,0,1.5,1,1,6,"Other",0,5,0,1,"M",0,0,0,0,0,0,0,0,0,3.5,0,0,0,0
"72",1.19000005722046,0.8299999833107,18,1,1,0,3,1.5,1,1,6,1,0,1,0,0,85,0,60,1,3,2,0,0,3.5,1,1,6,"English",0,4,1,0,"M",1,1,1,1,0,0,1,0,0,4.5,0,0,0,0
"73",2.76999998092651,2.89000010490417,18,1,1,0,4,3.25,1,0,2,1,1,1,1,1,78.3000030517578,0,71.5,0,2,3,0,0,1,1,0,4,"English",0,6,0,0,"F",0,0,0,0,0,0,1,1,1,5,0,0,0,0
"74",0.980000019073486,NA,19,0,1,1,2,0,1,0,4,0,1,1,0,0,78.5,1,47,0,2,4,0,1,3.5,1,0,2,"Other",0,4,1,1,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"75",3.23000001907349,2.59999990463257,18,0,1,1,3.5,5,1,1,6,1,0,1,1,1,84,1,77,1,3,5,1,0,4,1,1,8,"English",0,6,0,0,"M",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"76",3.84999990463257,3.5699999332428,18,0,1,1,2.5,3.5,1,1,6,1,1,1,1,1,80.3000030517578,1,85,1,2,3,0,0,1,1,1,6,"English",0,4,0,0,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"77",2.07999992370605,2.40000009536743,18,0,1,1,2.75,3.75,0,0,1,1,1,0,1,1,78.3000030517578,0,60,0,2,2,0,0,0,0,0,1,"English",0,6,0,0,"F",0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
"78",2.13000011444092,2.16000008583069,18,1,1,1,2.5,3,1,0,4,1,0,1,1,1,78,1,72,1,2,1,0,0,0.5,1,1,6,"English",0,4,0,0,"M",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"79",3.27999997138977,2.54999995231628,18,1,1,1,2,3,1,0,2,1,1,1,1,1,81.3000030517578,1,NA,1,3,3,0,0,3,1,0,2,"English",0,4,0,0,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"80",1.22000002861023,2.53999996185303,18,0,1,0,2.5,5.5,1,1,6,1,1,1,0,1,85.3000030517578,1,56,1,3,3,0,0,3.5,1,1,6,"English",0,6,1,0,"F",1,1,1,1,0,0,1,0,0,4.5,0,0,0,0
"81",0.819999992847443,NA,18,0,1,0,1.5,0,1,0,2,1,1,1,0,0,78,1,47,1,2,3,0,0,3.5,1,0,2,"English",0,5,1,1,"F",0,0,0,0,0,0,1,1,1,4.5,1,0,1,0
"82",1.48000001907349,2.47000002861023,18,0,1,1,3,4,0,0,1,1,1,1,0,1,80.6999969482422,1,67,1,2,4,0,1,1,1,0,3,"English",0,5,1,0,"F",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"83",3.15000009536743,3.74000000953674,18,0,1,1,3.5,4.5,1,1,6,1,0,1,1,1,80.3000030517578,1,68.5,1,2,1,0,0,3,1,0,2,"English",0,5,0,0,"M",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"84",2.07999992370605,1.87999999523163,18,1,1,1,4.5,4.5,1,0,3,1,1,1,1,1,79.3000030517578,0,68.75,0,2,4,0,1,0.5,1,1,6,"English",0,5,0,0,"F",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"85",2.58999991416931,2.27999997138977,18,0,1,1,3,4.5,1,0,4,1,1,1,1,1,83.8000030517578,1,74.5,1,3,4,0,1,3,1,0,4,"English",0,4,0,0,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"86",0.850000023841858,2.65000009536743,18,1,1,0,1.5,3.5,1,0,5,0,1,1,0,1,79.5,1,52,1,2,4,0,1,2,1,1,7,"Other",0,4,0,0,"F",1,1,1,1,0,0,1,0,0,3,0,0,0,0
"87",2,NA,19,1,1,0,1.5,0,1,0,2,1,1,1,0,0,77.6999969482422,1,71,0,2,4,0,1,0.5,1,0,4,"English",0,6,0,1,"F",0,0,0,0,0,0,0,1,0,2,0,0,0,0
"88",NA,NA,19,0,1,1,3,0,1,1,6,0,0,1,NA,NA,81.1999969482422,0,62.6666679382324,0,3,2,0,0,0,1,1,6,"Other",1,5,NA,NA,"M",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",1.17999994754791,0,18,1,1,1,2.5,0,1,0,4,0,1,1,0,0,78.5,0,52,0,2,2,0,0,0,0,0,1,"Other",0,6,1,0,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,0
