"","sfp","ssp","GPA_year1","GPA_year2","grade_20059_fall","gpa0","sex","goodstanding_year1","goodstanding_year2"
"915","0","0",1.24000000953674,1.36000001430511,81,72.3000030517578,"M",0,0
"918","0","0",0.800000011920929,2.04999995231628,53,74.5,"M",0,1
"919","1","0",1.22000002861023,1.88999998569489,71,73.3000030517578,"M",0,1
"920","0","1",1.28999996185303,0,71.5,74,"M",0,0
"925","0","0",2.59999990463257,1.51999998092651,75,71.8000030517578,"F",0,1
"931","0","0",3.11999988555908,3.29999995231628,81,74,"M",1,1
"932","0","0",1.19000005722046,0.140000000596046,76.5,72.8000030517578,"F",0,0
"934","0","0",1.25999999046326,2.33999991416931,62.5,72.6999969482422,"F",0,1
"940","0","0",0,0.28999999165535,29,71.8000030517578,"F",0,0
"948","0","0",0.6700000166893,0.899999976158142,57,73.3000030517578,"F",0,0
"949","0","0",2.40000009536743,2.64000010490417,68,74.8000030517578,"F",1,1
"957","0","0",1.20000004768372,0.850000023841858,43,74.8000030517578,"M",0,0
"960","0","0",1.89999997615814,2.29999995231628,65.3333358764648,75,"F",0,1
"973","0","1",1.50999999046326,1.6599999666214,61.5,74.8000030517578,"F",1,1
"979","0","0",1.08000004291534,0,62.5,72.1999969482422,"M",0,0
"984","0","0",1.17999994754791,1.39999997615814,53,72.5,"F",0,0
"986","1","0",1.29999995231628,1.33000004291534,80,74.3000030517578,"F",0,0
"996","0","0",0.6700000166893,0.800000011920929,55.3333320617676,74.3000030517578,"F",0,0
"1004","0","0",1.58000004291534,2.04999995231628,66,74,"M",0,1
"1005","0","1",1.29999995231628,1.35000002384186,64,73.5,"M",0,0
"1006","0","1",2.01999998092651,2.80999994277954,72.5,74.3000030517578,"M",1,1
"1007","1","1",0.46000000834465,0.469999998807907,62,72.5,"F",0,0
"1011","1","0",1.87000000476837,1.70000004768372,70,74,"M",0,1
"1015","0","0",0.899999976158142,0.230000004172325,64.5,72.3000030517578,"F",0,0
"1016","0","1",2.48000001907349,3.4300000667572,75.3333358764648,73.5,"F",0,1
"1021","0","0",2.33999991416931,0.5,80,75.1999969482422,"F",1,1
"1024","1","0",1.47000002861023,1.23000001907349,58,73.6999969482422,"F",0,0
"1027","0","0",1.1599999666214,1.29999995231628,62.5,73.6999969482422,"F",0,0
"1035","1","0",3.20000004768372,1.70000004768372,79,74.3000030517578,"F",1,1
"1037","0","0",1.44000005722046,2.27999997138977,67,71.5,"F",0,1
"1042","0","1",1.95000004768372,2.58999991416931,63.5,73.5,"M",0,1
"1051","0","0",1.80999994277954,2.13000011444092,61,75,"F",1,1
"1056","1","1",0.449999988079071,1.73000001907349,50,74.5,"F",0,0
"1058","0","0",2.59999990463257,3.20000004768372,61,71.6999969482422,"M",1,1
"1059","0","1",0.100000001490116,0.860000014305115,55,72.5,"F",0,0
"1069","0","0",0.930000007152557,0.340000003576279,54.5,75,"F",0,0
"1076","1","0",1.54999995231628,1.00999999046326,64.5,73,"F",0,0
"1077","0","0",2.63000011444092,2.71000003814697,81,74,"F",0,1
"1089","0","0",2.39000010490417,1.87999999523163,72,72.3000030517578,"M",1,1
"1106","0","1",1.27999997138977,1.98000001907349,63,73.8000030517578,"F",0,1
"1120","0","0",0,0,16,72.8000030517578,"M",0,0
"1121","1","0",2.03999996185303,2.07999992370605,71,71.6999969482422,"F",1,1
"1130","0","0",1.07000005245209,2.03999996185303,61.5,73.6999969482422,"M",0,1
"1134","0","0",1.62000000476837,1.25,73,75.1999969482422,"M",0,0
"1135","0","1",1.44000005722046,2.14000010490417,55,74.3000030517578,"F",0,1
"1136","0","0",2.09999990463257,2.0699999332428,64.5,72.6999969482422,"M",0,1
"1137","0","0",1.25,0.6700000166893,78,72,"F",0,0
"1141","0","0",2.41000008583069,1.96000003814697,67,73.1999969482422,"F",1,1
"1144","0","0",2.74000000953674,1.91999995708466,75.75,72.8000030517578,"M",1,1
"1159","0","0",2.28999996185303,2.71000003814697,62.5,74.1999969482422,"M",1,1
"1161","0","0",0.219999998807907,0.930000007152557,66,73.8000030517578,"F",0,0
"1168","0","0",1.36000001430511,1.97000002861023,62.5,75.1999969482422,"F",0,1
"1171","0","0",0.239999994635582,0.330000013113022,60,73.6999969482422,"M",0,0
"1173","1","0",1.92999994754791,2.48000001907349,76,74,"F",1,1
"1174","0","0",1.89999997615814,2.38000011444092,73,74.1999969482422,"F",1,1
"1177","0","0",1.6599999666214,2.57999992370605,71,74,"F",1,1
"1178","0","0",2.63000011444092,2.97000002861023,67.5,74.6999969482422,"M",1,1
"1191","0","0",2.09999990463257,1.60000002384186,50,75.1999969482422,"F",0,1
