"","sfp","ssp","GPA_year1","GPA_year2","gpa0","sex"
"23","0","0",0.379999995231628,0.8299999833107,74.3000030517578,"M"
"24","0","0",1.98000001907349,1.62999999523163,73.6999969482422,"F"
"26","0","0",1.5900000333786,0.660000026226044,73,"M"
"27","0","0",0.889999985694885,1.54999995231628,73.5,"F"
"32","1","0",0.910000026226044,1.76999998092651,72.3000030517578,"M"
"45","0","0",0.300000011920929,0.709999978542328,75,"F"
"63","0","0",2.91000008583069,2.46000003814697,73.6999969482422,"M"
"71","0","0",0,0.230000004172325,74.5,"M"
"95","1","1",0.990000009536743,1.30999994277954,72.8000030517578,"M"
"99","0","0",0.850000023841858,2,74,"F"
"102","1","0",1.04999995231628,1.01999998092651,75,"M"
"104","1","0",2.45000004768372,3.22000002861023,75,"M"
"105","0","0",0.639999985694885,2.40000009536743,72,"M"
"122","0","0",2.27999997138977,2.66000008583069,71.8000030517578,"M"
"139","0","0",1.58000004291534,1.86000001430511,73.6999969482422,"M"
"153","0","0",1.38999998569489,1.33000004291534,74.8000030517578,"F"
"168","0","0",1.38999998569489,2.40000009536743,74.8000030517578,"F"
"171","1","0",1.87999999523163,2.32999992370605,74,"M"
"176","1","0",0.230000004172325,0.400000005960464,75.1999969482422,"F"
"193","0","0",0.850000023841858,1.52999997138977,72.1999969482422,"M"
"214","0","0",1.86000001430511,2,74.1999969482422,"M"
"221","1","0",2.08999991416931,2.38000011444092,73.6999969482422,"M"
"237","0","1",0.930000007152557,0.140000000596046,71.8000030517578,"F"
"244","0","0",2.09999990463257,1.76999998092651,75,"F"
"248","0","0",1.42999994754791,1.75999999046326,72.3000030517578,"F"
"253","0","0",0.72000002861023,0.52999997138977,74,"F"
"255","0","0",1.25999999046326,2.59999990463257,72.3000030517578,"M"
"256","0","0",0.899999976158142,1.67999994754791,68.6999969482422,"F"
"267","0","0",0,0,73.6999969482422,"F"
"277","0","1",1.17999994754791,1.67999994754791,73.5,"M"
"283","0","0",0.509999990463257,1.88999998569489,74.6999969482422,"M"
"284","0","0",0.850000023841858,1.37999999523163,72.3000030517578,"M"
"288","0","0",1.86000001430511,0.870000004768372,72.6999969482422,"M"
"294","0","0",0.980000019073486,0.850000023841858,73.8000030517578,"F"
"304","1","0",2.11999988555908,3.00999999046326,73.8000030517578,"F"
"306","0","0",1.8400000333786,0,74.3000030517578,"F"
"315","1","1",2.03999996185303,2.39000010490417,72,"M"
"321","0","0",1.89999997615814,2.95000004768372,74.5,"M"
"325","0","0",2.4300000667572,2.09999990463257,71.5,"F"
"336","0","0",1.26999998092651,0,75,"F"
"340","0","1",2.23000001907349,2.32999992370605,72.1999969482422,"F"
"345","0","0",1.46000003814697,1.37999999523163,73.8000030517578,"F"
"349","0","0",1.5900000333786,2.13000011444092,72.3000030517578,"F"
"351","0","0",1.04999995231628,2.36999988555908,74.6999969482422,"F"
"360","0","1",0.25,0.280000001192093,72.5,"F"
"361","0","0",0.409999996423721,0,74.1999969482422,"M"
"367","0","1",1.5,2.17000007629395,72.6999969482422,"F"
"376","0","0",1.79999995231628,0.850000023841858,74,"M"
"382","0","0",0.730000019073486,0.8299999833107,72,"F"
"389","0","0",2.23000001907349,2.15000009536743,68,"M"
"402","1","1",2.39000010490417,1.42999994754791,75.1999969482422,"M"
"407","1","1",1.92999994754791,2.34999990463257,74.8000030517578,"F"
"410","0","0",0,1.89999997615814,73.5,"F"
"416","1","1",1.51999998092651,2.36999988555908,74.8000030517578,"F"
"423","1","0",1.96000003814697,2.13000011444092,72.8000030517578,"F"
"429","0","1",1.79999995231628,2.47000002861023,75,"M"
"437","0","0",0,1.23000001907349,74.8000030517578,"F"
"440","0","1",1.76999998092651,2.0699999332428,72.1999969482422,"M"
"441","0","0",1.87000000476837,1.30999994277954,74.1999969482422,"M"
"469","0","0",1.21000003814697,1,74.6999969482422,"M"
"477","1","0",2.00999999046326,1.22000002861023,73.6999969482422,"M"
"478","0","1",1.37000000476837,1.1599999666214,71.6999969482422,"M"
"481","0","1",2,2.14000010490417,73.1999969482422,"M"
"485","1","0",1.10000002384186,0.610000014305115,72.8000030517578,"M"
"486","0","1",1.3400000333786,1.62999999523163,75,"F"
"488","1","0",0.430000007152557,0.100000001490116,72.8000030517578,"F"
"504","0","0",1.80999994277954,2.42000007629395,72.3000030517578,"M"
"508","0","1",2.33999991416931,2.11999988555908,74.1999969482422,"M"
"515","0","0",1.63999998569489,1.35000002384186,74.3000030517578,"M"
"516","0","1",2.38000011444092,2.10999989509583,72.8000030517578,"M"
"518","0","0",0.680000007152557,1.75999999046326,74.5,"F"
"531","0","0",1.38999998569489,1,74.1999969482422,"F"
"534","1","0",2.58999991416931,1.8400000333786,74.3000030517578,"M"
"539","0","0",0.119999997317791,1.28999996185303,74.6999969482422,"F"
"553","1","0",2.66000008583069,2.97000002861023,72.8000030517578,"F"
"557","0","1",3.00999999046326,3.13000011444092,73.8000030517578,"M"
"558","0","1",3.27999997138977,3.5699999332428,74,"M"
"559","0","0",0.72000002861023,1.6599999666214,74,"M"
"564","0","0",0.170000001788139,0.389999985694885,74.1999969482422,"F"
"568","0","0",1.35000002384186,1.82000005245209,71.3000030517578,"F"
"574","0","0",0.219999998807907,0.389999985694885,73,"F"
"576","0","0",1.29999995231628,2.63000011444092,75,"F"
"580","0","0",1.89999997615814,2.15000009536743,72.8000030517578,"F"
"581","1","1",1.26999998092651,1.94000005722046,72.5,"F"
"583","0","0",1.72000002861023,1.97000002861023,72.3000030517578,"F"
"585","0","0",2.10999989509583,1.95000004768372,74.3000030517578,"F"
"586","0","0",1.12000000476837,2.23000001907349,75,"F"
"598","0","0",0,0,72,"F"
"600","0","0",1.92999994754791,2.5699999332428,74.1999969482422,"M"
"606","0","1",0,0,73.3000030517578,"F"
"608","0","1",2.03999996185303,2.13000011444092,74.5,"F"
"617","1","0",0.97000002861023,1.49000000953674,72.5,"F"
"620","0","0",0.709999978542328,1.95000004768372,72.3000030517578,"F"
